x,y,group
43297.30,19.51,a
21243.31,0.51,c
29463.70,2.75,c
64180.63,16.83,b
42356.20,2.45,b
80100.15,5.16,b
73904.37,11.35,c
58816.43,19.42,a
80150.00,11.23,c
16936.44,2.31,c
97716.82,6.84,b
98490.15,19.26,b
39532.85,13.45,b
3175.07,9.58,a
39620.29,8.94,b
3199.87,14.24,c
62374.18,0.95,b
64503.50,13.79,b
50025.64,19.06,c
70434.21,8.67,a
5180.66,3.39,c
84062.64,7.83,c
15818.85,5.88,b
6851.01,14.26,b
59967.12,8.33,b
29605.29,5.88,b
3812.06,1.96,a
69204.38,2.96,a
51764.17,1.04,a
66264.34,1.36,b
23706.53,12.68,a
58116.81,10.35,c
96543.35,11.88,a
47296.90,14.27,a
58939.13,2.81,a
85449.56,9.07,a
91562.55,18.65,c
73614.58,14.06,a
96598.11,1.22,c
85824.91,16.91,c
58775.58,5.41,c
66853.96,2.79,c
49541.32,15.85,a
8700.71,2.49,a
2655.21,6.29,b
13019.21,17.86,b
85374.20,12.15,b
63845.37,1.94,c
11755.69,0.57,a
32962.32,2.37,b
87266.20,7.69,c
71050.86,14.70,c
70495.89,7.67,b
98228.86,15.53,b
51511.88,3.60,b
97992.65,11.95,a
30153.11,1.99,c
16449.16,14.12,c
63002.51,4.33,c
33502.19,16.62,a
95980.41,18.86,c
93725.94,5.35,b
66018.48,12.66,a
78692.80,8.08,c
77718.14,18.78,c
96511.36,19.47,c
47232.73,2.76,a
8504.77,4.99,c
40709.79,8.71,b
56849.55,15.68,a
29812.37,18.45,c
26484.39,17.32,c
1396.38,15.23,b
52155.19,8.65,b
14911.93,10.57,a
1956.20,11.69,c
90221.78,13.30,a
88382.29,5.43,b
17991.78,5.04,b
28400.06,9.88,a
39796.00,3.36,c
59499.06,9.13,c
62890.87,4.78,a
94817.07,7.64,a
98607.01,15.09,c
91636.27,5.24,b
62278.10,15.72,c
90427.12,12.05,c
50339.74,10.19,a
81578.65,8.12,b
50781.51,12.16,b
29165.24,11.04,a
93058.88,0.81,a
71568.22,18.71,b
66036.14,11.41,a
10871.24,18.33,b
98941.85,6.65,c
38082.18,2.90,b
38516.96,2.77,c
82717.42,14.42,c
